time_spent_minutes,scroll_speed,rereads,backtracking,quiz_attempts,hesitation_time_seconds,accuracy,cognitive_load
42.0,2.18,5,4,4,12.2,45.2,HIGH
21.3,3.64,2,0,1,5.3,90.4,LOW
64.9,1.39,3,4,3,17.7,48.3,HIGH
22.1,5.42,2,1,1,4.5,92.0,LOW
12.7,4.09,2,1,1,4.2,93.2,LOW
46.1,2.63,7,3,3,15.7,56.7,HIGH
42.0,1.95,7,2,4,13.3,67.9,HIGH
15.8,5.14,0,1,1,5.8,87.5,LOW
15.6,3.77,0,1,1,5.5,89.7,LOW
74.2,1.4,5,9,3,18.9,53.2,HIGH
21.3,4.35,1,1,1,4.9,97.8,LOW
26.9,3.74,2,2,2,6.9,75.7,MEDIUM
61.6,1.97,9,9,3,19.3,46.9,HIGH
11.2,4.96,0,0,1,6.5,80.0,LOW
71.1,2.07,6,3,3,21.1,56.3,HIGH
49.8,1.19,5,8,3,19.9,45.4,HIGH
56.5,1.82,8,3,3,21.6,33.3,HIGH
14.9,4.08,1,0,1,6.2,81.9,LOW
38.0,2.95,1,1,3,10.9,75.5,MEDIUM
45.8,2.24,3,2,4,21.1,62.9,HIGH
63.9,1.92,6,4,3,25.3,41.9,HIGH
48.8,1.93,11,3,2,23.9,51.9,HIGH
33.0,3.03,1,1,3,8.6,72.6,MEDIUM
65.0,1.74,5,7,3,13.7,58.8,HIGH
10.5,4.02,1,0,2,6.5,80.0,LOW
57.0,2.0,3,4,4,20.8,47.8,HIGH
42.4,1.16,3,2,4,18.8,55.3,HIGH
35.6,3.27,4,1,2,12.8,73.4,MEDIUM
14.2,5.52,2,0,1,4.0,90.6,LOW
35.5,2.42,4,2,2,12.2,81.4,MEDIUM
94.9,2.44,4,3,4,15.9,60.7,HIGH
32.4,2.2,2,3,1,11.6,68.4,MEDIUM
64.9,1.84,7,4,4,24.6,56.6,HIGH
29.0,2.93,1,1,3,11.3,74.3,MEDIUM
21.3,3.44,0,0,1,7.6,88.9,LOW
32.5,3.52,2,1,3,11.3,75.0,MEDIUM
63.7,1.61,7,5,3,17.5,60.2,HIGH
11.3,4.47,1,0,1,2.1,90.2,LOW
28.7,2.2,4,2,2,13.0,68.4,MEDIUM
15.5,3.1,1,0,1,5.1,94.8,LOW
73.0,2.06,6,4,4,20.4,40.4,HIGH
20.4,4.05,0,0,1,2.0,98.8,LOW
42.0,2.7,5,4,4,12.6,63.3,HIGH
42.0,2.56,2,2,2,10.8,75.3,MEDIUM
14.9,5.03,0,0,1,8.2,92.0,LOW
18.9,4.59,0,1,1,5.6,87.9,LOW
20.0,4.13,1,0,1,7.8,93.8,LOW
21.6,4.21,0,0,1,3.5,87.5,LOW
57.1,1.67,3,5,3,21.3,49.1,HIGH
18.7,3.59,2,1,1,6.4,96.3,LOW
17.4,4.0,0,0,2,6.8,87.1,LOW
27.1,2.47,3,1,2,8.0,78.4,MEDIUM
11.7,4.58,2,0,1,5.0,84.2,LOW
64.5,2.07,5,2,3,26.7,53.7,HIGH
32.4,3.59,1,2,1,13.8,77.2,MEDIUM
12.5,4.47,1,0,1,5.4,100.0,LOW
20.5,3.67,1,1,2,6.0,85.4,LOW
18.4,3.95,1,0,1,3.1,92.4,LOW
36.4,2.97,2,3,2,12.3,70.7,MEDIUM
20.5,5.34,2,0,1,7.7,92.0,LOW
52.7,1.68,3,3,4,25.4,53.1,HIGH
25.7,3.24,3,1,2,8.0,75.7,MEDIUM
23.5,2.63,2,2,2,9.1,84.0,MEDIUM
50.1,1.88,4,3,3,24.4,40.5,HIGH
16.6,4.61,1,1,1,4.2,91.9,LOW
